state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
NEVADA,1924976,881145,280385,1512018,2018,NV,3027341,0.092617580906809,0.635863617610306,0.291062354719868,0.499454141439633,0.500545858560367
NEW HAMPSHIRE,1253931,52648,23432,687016,2018,NH,1353465,0.0173126013602125,0.92645986412652,0.038898678576838,0.507597906115045,0.492402093884955
NEW JERSEY,5956539,1839359,1207995,4558134,2018,NJ,8886025,0.135943236711578,0.670326608354129,0.206994578565782,0.512955342799508,0.487044657200492
NEW MEXICO,1599938,1029229,46064,1055787,2018,NM,2092741,0.0220113239048693,0.764517921711287,0.491809067629487,0.50449960124067,0.495500398759331
NEW YORK,12375601,3752523,3069259,10050896,2018,NY,19530351,0.157153294377556,0.633659937806545,0.192138021482563,0.514629562981229,0.485370437018772
NORTH CAROLINA,7098569,995529,2222533,5331376,2018,NC,10381615,0.214083550584374,0.683763460694699,0.0958934616627567,0.513540138022841,0.486459861977159
NORTH DAKOTA,651687,27444,25896,368855,2018,ND,758080,0.0341599831152385,0.859654653862389,0.0362019839594766,0.486564742507387,0.513435257492613
OHIO,9470940,455918,1446306,5957347,2018,OH,11676341,0.123866372179435,0.811122251397077,0.0390463074005804,0.510206664913264,0.489793335086737
OKLAHOMA,2845906,429079,287680,1993003,2018,OK,3940235,0.073010873716923,0.722268088070889,0.108896804378419,0.505808156112516,0.494191843887484
OREGON,3514983,556397,82046,2110770,2018,OR,4181886,0.0196193774770522,0.840525781907972,0.133049298809198,0.504741162241152,0.495258837758849
PENNSYLVANIA,10256084,974763,1428406,6535440,2018,PA,12800922,0.111586181057896,0.801198851145253,0.0761478743484258,0.510544474843297,0.489455525156704
RHODE ISLAND,852805,168341,70749,541415,2018,RI,1058287,0.0668523755843169,0.805835279087809,0.159069326184674,0.511595625761254,0.488404374238746
SOUTH CAROLINA,3407706,294502,1353599,2615420,2018,SC,5084156,0.266238683470767,0.670259921214062,0.0579254452459759,0.514425599843907,0.485574400156093
SOUTH DAKOTA,740870,33983,19057,436964,2018,SD,878698,0.0216877698594967,0.84314519891931,0.038674265788701,0.497285756881204,0.502714243118796
TENNESSEE,5235588,372901,1137801,3467819,2018,TN,6771631,0.168024660528608,0.773164987873675,0.0550681216977121,0.512109859500614,0.487890140499386
TEXAS,21099066,11368844,3527027,14451661,2018,TX,28628666,0.123199138932984,0.736990888782593,0.397113997557553,0.504796870381596,0.495203129618404
UTAH,2708195,450220,40365,1568648,2018,UT,3153550,0.0127998604747031,0.858776616828654,0.142766089010797,0.497422904345896,0.502577095654104
VERMONT,589337,12450,7621,318181,2018,VT,624358,0.0122061381451027,0.943908783102002,0.0199404828639979,0.509613074550178,0.490386925449822
VIRGINIA,5737580,812810,1631512,4326947,2018,VA,8501286,0.191913552843652,0.674907302259917,0.095610240615361,0.508975583223526,0.491024416776474
WASHINGTON,5633263,970353,291808,3768732,2018,WA,7523869,0.0387843010025826,0.74871891044355,0.128969948838822,0.50090345804798,0.49909654195202
WEST VIRGINIA,1679773,25569,68679,911175,2018,WV,1804291,0.0380642590358207,0.930987850629416,0.0141712173923164,0.505004458815125,0.494995541184875
WISCONSIN,4957243,403833,370632,2922286,2018,WI,5807406,0.0638205766912112,0.853607101001721,0.0695375870052826,0.503199879602012,0.496800120397988
WYOMING,528453,57895,3667,285118,2018,WY,577601,0.00634867321905606,0.914910119615444,0.10023355222723,0.493624491647348,0.506375508352652
ALABAMA,3326375,219296,1319551,2533574,2019,AL,4903185,0.269121193673092,0.678411073618475,0.0447252143249745,0.516720050334629,0.483279949665371
ALASKA,469771,52548,22551,351112,2019,AK,731545,0.0308265383537581,0.642162819785523,0.0718315346287652,0.479959537690778,0.520040462309222
ARIZONA,5701810,2310592,343729,3657782,2019,AZ,7278717,0.0472238445319416,0.783353714672517,0.317444956302052,0.502531146629275,0.497468853370725
ARKANSAS,2315020,231951,467468,1543099,2019,AR,3017804,0.154903366819051,0.767120727522397,0.0768608564373299,0.511331749841938,0.488668250158062
CALIFORNIA,23484958,15574882,2282144,19871429,2019,CA,39512223,0.0577579246806741,0.594371974464712,0.394178834230613,0.502918527261805,0.497081472738196
COLORADO,4822379,1256903,240538,2853781,2019,CO,5758736,0.0417692354711173,0.837402339680097,0.218260222382134,0.495556837472668,0.504443162527332
CONNECTICUT,2660228,600954,396745,1821510,2019,CT,3565287,0.111279961472947,0.746146944131005,0.168556977320479,0.51090136642576,0.48909863357424
DELAWARE,659719,93390,219418,503476,2019,DE,973764,0.225329751356592,0.677493725379045,0.0959061949301884,0.517041090038243,0.482958909961757
FLORIDA,16010079,5663629,3441062,10979732,2019,FL,21477737,0.160215296425317,0.745426717907944,0.263697660512372,0.511214566041106,0.488785433958894
GEORGIA,6131699,1042642,3390968,5447297,2019,GA,10617423,0.31937768703385,0.57751292380458,0.0982010418158907,0.513052649404663,0.486947350595337
HAWAII,341211,150864,26923,708017,2019,HI,1415872,0.0190151369615332,0.240990004746192,0.10655200470099,0.500057208561226,0.499942791438774
IDAHO,1596918,229494,12708,889021,2019,ID,1787065,0.00711110116308025,0.893598162349998,0.128419503487562,0.497475469554829,0.502524530445171
ILLINOIS,9044059,2216300,1790212,6454516,2019,IL,12671821,0.141275038528401,0.71371423254795,0.174899882187414,0.509359783412345,0.490640216587655
INDIANA,5571899,485554,643105,3412312,2019,IN,6732219,0.0955264527193783,0.827646723910794,0.0721239163491265,0.506862893200593,0.493137106799408
IOWA,2835536,197482,129335,1584686,2019,IA,3155070,0.0409927513494154,0.898723641630772,0.0625919551705667,0.502266510727179,0.497733489272821
KANSAS,2436902,354804,167237,1467027,2019,KS,2913314,0.0574043855210938,0.836470768341483,0.121787078220885,0.503559520189036,0.496440479810964
KENTUCKY,3873691,168017,363167,2269468,2019,KY,4467673,0.0812877307717015,0.86704890890627,0.0376072734060886,0.507975404645774,0.492024595354226
LOUISIANA,2874784,250203,1504017,2380592,2019,LA,4648794,0.323528424791462,0.618393501626443,0.0538210555253685,0.512088081338945,0.487911918661055
