state_name,year,population_total
MISSOURI,2005,5797703
MONTANA,2005,934737
NEBRASKA,2005,1758163
NEVADA,2005,2412301
NEW HAMPSHIRE,2005,1306819
NEW MEXICO,2005,1925985
NEW YORK,2005,19315721
NORTH CAROLINA,2005,8672459
NORTH DAKOTA,2005,634605
OHIO,2005,11470685
OKLAHOMA,2005,3543442
OREGON,2005,3638871
PENNSYLVANIA,2005,12405348
RHODE ISLAND,2005,1073579
SOUTH CAROLINA,2005,4246933
SOUTH DAKOTA,2005,774883
TENNESSEE,2005,5955745
TEXAS,2005,22928508
UTAH,2005,2490334
VERMONT,2005,622387
VIRGINIA,2005,7564327
WEST VIRGINIA,2005,1814083
WISCONSIN,2005,5527644
